ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.81224 0.50000 0.02299 0.58474 0.60237 14.26267 3128.1 5211.8 0.47075 0.49004 
0.81111 0.50800 0.02402 0.59660 0.61497 14.15074 3215.1 5334.8 0.48287 0.49630 
0.81008 0.51600 0.02507 0.61812 0.63823 14.17622 3245.6 5410.2 0.50933 0.49230 
0.80908 0.52400 0.02616 0.63478 0.65618 14.13856 3303.1 5505.2 0.52866 0.49311 
0.80809 0.53200 0.02727 0.65155 0.67429 14.10323 3359.8 5599.2 0.54842 0.49388 
0.80717 0.54000 0.02842 0.66835 0.69248 14.06955 3415.1 5692.1 0.56842 0.49449 
0.80637 0.54800 0.02959 0.68506 0.71061 14.03779 3469.2 5782.8 0.58833 0.49485 
0.80558 0.55600 0.03079 0.70175 0.72875 14.00845 3522.6 5871.3 0.60831 0.49512 
0.80472 0.56400 0.03201 0.71855 0.74706 13.98113 3575.4 5959.2 0.62884 0.49548 
0.80379 0.57200 0.03327 0.73549 0.76557 13.95555 3627.6 6046.7 0.64997 0.49595 
0.80289 0.58000 0.03455 0.75241 0.78409 13.93141 3679.2 6132.5 0.67122 0.49636 
0.80211 0.58800 0.03587 0.76921 0.80253 13.90820 3729.7 6216.4 0.69231 0.49656 
0.80142 0.59600 0.03721 0.78592 0.82091 13.88589 3779.3 6298.7 0.71332 0.49662 
0.80077 0.60400 0.03858 0.80259 0.83929 13.86450 3828.0 6379.8 0.73445 0.49663 
0.80010 0.61200 0.03999 0.81926 0.85771 13.84425 3876.0 6460.0 0.75582 0.49665 
0.79940 0.62000 0.04142 0.83593 0.87617 13.82536 3923.4 6538.9 0.77742 0.49667 
0.79876 0.62800 0.04288 0.85247 0.89454 13.80678 3970.1 6616.6 0.79893 0.49663 
0.79817 0.63600 0.04437 0.86891 0.91283 13.78873 4015.9 6692.9 0.82035 0.49651 
0.79764 0.64400 0.04589 0.88522 0.93102 13.77110 4061.0 6767.9 0.84165 0.49630 
0.79713 0.65200 0.04744 0.90145 0.94915 13.75401 4105.4 6841.7 0.86293 0.49606 
0.79661 0.66000 0.04902 0.91764 0.96728 13.73771 4149.4 6914.8 0.88439 0.49586 
0.79607 0.66800 0.05063 0.93383 0.98547 13.72199 4192.7 6987.4 0.90613 0.49573 
