ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
1.00000 0.20000 0.00198 0.12610 0.12571 36.17089 0.0 594.5 0.00000 0.00000 
1.00000 0.20800 0.00218 0.13182 0.13147 31.99258 0.0 730.7 0.00000 0.00000 
1.00000 0.21600 0.00239 0.13788 0.13758 28.85230 0.0 872.6 0.00000 0.00000 
1.00000 0.22400 0.00261 0.14431 0.14407 26.38145 0.0 1021.0 0.00000 0.00000 
1.00000 0.23200 0.00285 0.15112 0.15095 24.38962 0.0 1175.4 0.00000 0.00000 
1.00000 0.24000 0.00311 0.15830 0.15821 22.76105 0.0 1334.4 0.00000 0.00000 
1.00000 0.24800 0.00339 0.16584 0.16583 21.41212 0.0 1496.8 0.00000 0.00000 
1.00000 0.25600 0.00368 0.17372 0.17383 20.27999 0.0 1662.1 0.00000 0.00000 
1.00000 0.26400 0.00399 0.18196 0.18219 19.32445 0.0 1828.7 0.00000 0.00000 
1.00000 0.27200 0.00431 0.19044 0.19080 18.52525 0.0 1993.2 0.00000 0.00000 
1.00000 0.28000 0.00466 0.19926 0.19977 17.82971 0.0 2159.3 0.00000 0.00000 
1.00000 0.28800 0.00502 0.20857 0.20926 17.20910 0.0 2329.7 0.00000 0.00000 
1.00000 0.29600 0.00541 0.21793 0.21881 16.69687 0.0 2491.9 0.00000 0.00000 
1.00000 0.30400 0.00581 0.22781 0.22890 16.22617 0.0 2659.4 0.00000 0.00000 
1.00000 0.31200 0.00624 0.23785 0.23918 15.82514 0.0 2821.3 0.00000 0.00000 
1.00000 0.32000 0.00668 0.24830 0.24989 15.45986 0.0 2985.4 0.00000 0.00000 
1.00000 0.32800 0.00715 0.25883 0.26070 15.14900 0.0 3142.3 0.00000 0.00000 
1.00000 0.33600 0.00764 0.26995 0.27213 14.85530 0.0 3304.7 0.00000 0.00000 
1.00000 0.34400 0.00815 0.28096 0.28346 14.61017 0.0 3456.7 0.00000 0.00000 
1.00000 0.35200 0.00868 0.29252 0.29540 14.37779 0.0 3613.0 0.00000 0.00000 
1.00000 0.36000 0.00924 0.30422 0.30750 14.17259 0.0 3764.8 0.00000 0.00000 
1.00000 0.36800 0.00982 0.31595 0.31962 13.99502 0.0 3909.9 0.00000 0.00000 
1.00000 0.37600 0.01042 0.32824 0.33238 13.82501 0.0 4059.0 0.00000 0.00000 
1.00000 0.38400 0.01105 0.34065 0.34529 13.67299 0.0 4204.2 0.00000 0.00000 
1.00000 0.39200 0.01170 0.35308 0.35822 13.53986 0.0 4343.5 0.00000 0.00000 
1.00000 0.40000 0.01237 0.36556 0.37121 13.42155 0.0 4478.1 0.00000 0.00000 
1.00000 0.40800 0.01307 0.37882 0.38510 13.30223 0.0 4620.1 0.00000 0.00000 
1.00000 0.41600 0.01380 0.39191 0.39880 13.19988 0.0 4754.0 0.00000 0.00000 
1.00000 0.42400 0.01455 0.40507 0.41260 13.10824 0.0 4883.9 0.00000 0.00000 
1.00000 0.43200 0.01532 0.41832 0.42652 13.02489 0.0 5010.9 0.00000 0.00000 
1.00000 0.44000 0.01613 0.43168 0.44059 12.94929 0.0 5134.9 0.00000 0.00000 
1.00000 0.44800 0.01695 0.44580 0.45552 12.87169 0.0 5265.5 0.00000 0.00000 
1.00000 0.45600 0.01781 0.45958 0.47010 12.80588 0.0 5387.5 0.00000 0.00000 
1.00000 0.46400 0.01869 0.47323 0.48454 12.74821 0.0 5504.0 0.00000 0.00000 
1.00000 0.47200 0.01960 0.48726 0.49946 12.69193 0.0 5622.3 0.00000 0.00000 
1.00000 0.48000 0.02053 0.50117 0.51425 12.64208 0.0 5735.7 0.00000 0.00000 
1.00000 0.48800 0.02149 0.51500 0.52896 12.59788 0.0 5844.9 0.00000 0.00000 
1.00000 0.49600 0.02248 0.52942 0.54439 12.55260 0.0 5958.3 0.00000 0.00000 
1.00000 0.50400 0.02350 0.54423 0.56031 12.50783 0.0 6073.5 0.00000 0.00000 
1.00000 0.51200 0.02454 0.55855 0.57568 12.47048 0.0 6180.6 0.00000 0.00000 
1.00000 0.52000 0.02561 0.57268 0.59086 12.43776 0.0 6283.0 0.00000 0.00000 
1.00000 0.52800 0.02671 0.58702 0.60631 12.40601 0.0 6385.6 0.00000 0.00000 
1.00000 0.53600 0.02784 0.60159 0.62206 12.37516 0.0 6488.5 0.00000 0.00000 
1.00000 0.54400 0.02900 0.61611 0.63779 12.34683 0.0 6589.0 0.00000 0.00000 
1.00000 0.55200 0.03018 0.63041 0.65329 12.32184 0.0 6685.3 0.00000 0.00000 
1.00000 0.56000 0.03140 0.64460 0.66868 12.29903 0.0 6778.9 0.00000 0.00000 
1.00000 0.56800 0.03264 0.65894 0.68429 12.27690 0.0 6872.4 0.00000 0.00000 
1.00000 0.57600 0.03391 0.67379 0.70057 12.25353 0.0 6969.4 0.00000 0.00000 
1.00000 0.58400 0.03521 0.68876 0.71702 12.23077 0.0 7066.0 0.00000 0.00000 
1.00000 0.59200 0.03654 0.70338 0.73309 12.21086 0.0 7158.1 0.00000 0.00000 
1.00000 0.60000 0.03789 0.71771 0.74885 12.19335 0.0 7246.3 0.00000 0.00000 
1.00000 0.60800 0.03928 0.73190 0.76446 12.17722 0.0 7332.1 0.00000 0.00000 
1.00000 0.61600 0.04070 0.74608 0.78010 12.16177 0.0 7416.9 0.00000 0.00000 
1.00000 0.62400 0.04214 0.76026 0.79578 12.14696 0.0 7500.7 0.00000 0.00000 
1.00000 0.63200 0.04362 0.77460 0.81171 12.13206 0.0 7585.1 0.00000 0.00000 
1.00000 0.64000 0.04513 0.78897 0.82771 12.11756 0.0 7668.8 0.00000 0.00000 
1.00000 0.64800 0.04666 0.80325 0.84366 12.10377 0.0 7751.2 0.00000 0.00000 
1.00000 0.65600 0.04822 0.81731 0.85936 12.09115 0.0 7831.0 0.00000 0.00000 
1.00000 0.66400 0.04982 0.83124 0.87495 12.07923 0.0 7909.1 0.00000 0.00000 
1.00000 0.67200 0.05144 0.84509 0.89047 12.06786 0.0 7986.0 0.00000 0.00000 
1.00000 0.68000 0.05310 0.85886 0.90594 12.05683 0.0 8061.8 0.00000 0.00000 
1.00000 0.68800 0.05478 0.87250 0.92128 12.04633 0.0 8136.2 0.00000 0.00000 
1.00000 0.69600 0.05649 0.88610 0.93663 12.03606 0.0 8209.9 0.00000 0.00000 
1.00000 0.70400 0.05824 0.90001 0.95237 12.02735 0.0 8282.6 0.00000 0.00000 
1.00000 0.71200 0.06001 0.91362 0.96787 12.01488 0.0 8358.4 0.00000 0.00000 
1.00000 0.72000 0.06181 0.92750 0.98376 12.00400 0.0 8433.2 0.00000 0.00000 
1.00000 0.72800 0.06365 0.94131 0.99959 11.99331 0.0 8507.2 0.00000 0.00000 
1.00000 0.73600 0.06551 0.95475 1.01499 11.98351 0.0 8578.2 0.00000 0.00000 
1.00000 0.74400 0.06740 0.96797 1.03014 11.97419 0.0 8647.5 0.00000 0.00000 
1.00000 0.75200 0.06933 0.98104 1.04513 11.96520 0.0 8715.5 0.00000 0.00000 
1.00000 0.76000 0.07128 0.99397 1.06000 11.95640 0.0 8782.4 0.00000 0.00000 
1.00000 0.76800 0.07327 1.00683 1.07483 11.94763 0.0 8848.8 0.00000 0.00000 
1.00000 0.77600 0.07528 1.01957 1.08955 11.93900 0.0 8914.2 0.00000 0.00000 
1.00000 0.78400 0.07732 1.03220 1.10416 11.93048 0.0 8978.9 0.00000 0.00000 
1.00000 0.79200 0.07940 1.04469 1.11865 11.92207 0.0 9042.6 0.00000 0.00000 
1.00000 0.80000 0.08150 1.05705 1.13301 11.91378 0.0 9105.4 0.00000 0.00000 
1.00000 0.80800 0.08364 1.06931 1.14728 11.90555 0.0 9167.5 0.00000 0.00000 
1.00000 0.81600 0.08580 1.08147 1.16147 11.89733 0.0 9229.1 0.00000 0.00000 
1.00000 0.82400 0.08799 1.09356 1.17562 11.88906 0.0 9290.2 0.00000 0.00000 
1.00000 0.83200 0.09022 1.10565 1.18983 11.88063 0.0 9351.3 0.00000 0.00000 
1.00000 0.84000 0.09247 1.11766 1.20398 11.87219 0.0 9412.0 0.00000 0.00000 
1.00000 0.84800 0.09476 1.12956 1.21805 11.86372 0.0 9472.2 0.00000 0.00000 
1.00000 0.85600 0.09707 1.14136 1.23201 11.85527 0.0 9531.7 0.00000 0.00000 
