ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.60107 0.84000 0.09247 1.37518 1.48756 16.04786 6283.5 6701.7 1.72341 0.65156 
0.61684 0.84800 0.09476 1.38444 1.49895 15.70435 6284.2 6949.6 1.73029 0.64551 
0.62884 0.85600 0.09707 1.39343 1.51005 15.45798 6282.8 7140.8 1.73646 0.63933 
0.63858 0.86400 0.09941 1.40223 1.52092 15.26540 6282.1 7299.0 1.74212 0.63333 
0.64682 0.87200 0.10179 1.41122 1.53202 15.10714 6282.7 7437.0 1.74878 0.62774 
0.65411 0.88000 0.10419 1.42035 1.54332 14.96886 6283.3 7564.2 1.75660 0.62253 
0.66088 0.88800 0.10662 1.42923 1.55434 14.84427 6283.5 7682.1 1.76356 0.61727 
0.66719 0.89600 0.10909 1.43799 1.56524 14.73118 6283.5 7792.5 1.77021 0.61207 
0.67310 0.90400 0.11158 1.44662 1.57598 14.62717 6283.3 7897.1 1.77669 0.60698 
0.67864 0.91200 0.11410 1.45531 1.58683 14.53144 6283.0 7996.8 1.78353 0.60204 
0.68386 0.92000 0.11665 1.46390 1.59756 14.44232 6283.0 8092.3 1.79039 0.59729 
0.68879 0.92800 0.11923 1.47237 1.60817 14.35922 6283.0 8183.5 1.79710 0.59264 
0.69347 0.93600 0.12184 1.48072 1.61863 14.28079 6282.9 8271.5 1.80363 0.58810 
0.69793 0.94400 0.12448 1.48900 1.62903 14.20708 6283.0 8356.2 1.81016 0.58368 
0.70220 0.95200 0.12715 1.49714 1.63927 14.13684 6283.2 8438.3 1.81647 0.57939 
0.70632 0.96000 0.12985 1.50524 1.64947 14.07031 6283.4 8517.9 1.82278 0.57518 
0.71027 0.96800 0.13257 1.51332 1.65967 14.00694 6283.5 8595.6 1.82929 0.57110 
0.71407 0.97600 0.13533 1.52134 1.66983 13.94620 6283.3 8671.9 1.83598 0.56714 
0.71774 0.98400 0.13811 1.52934 1.67998 13.88799 6283.2 8746.5 1.84280 0.56330 
0.72128 0.99200 0.14093 1.53721 1.68999 13.83220 6283.0 8819.1 1.84942 0.55953 
0.72470 1.00000 0.14377 1.54501 1.69992 13.77874 6283.2 8889.7 1.85594 0.55586 
0.72801 1.00800 0.14664 1.55274 1.70977 13.72727 6283.2 8958.7 1.86235 0.55225 
0.73121 1.01600 0.14954 1.56029 1.71941 13.67727 6282.9 9026.4 1.86853 0.54871 
0.73432 1.02400 0.15247 1.56777 1.72899 13.62888 6282.7 9092.8 1.87465 0.54524 
0.73734 1.03200 0.15543 1.57513 1.73843 13.58205 6282.5 9157.9 1.88061 0.54185 
0.74027 1.04000 0.15842 1.58242 1.74778 13.53678 6282.3 9221.6 1.88648 0.53854 
0.74311 1.04800 0.16143 1.58964 1.75707 13.49290 6282.5 9284.2 1.89230 0.53532 
0.74588 1.05600 0.16447 1.59677 1.76625 13.45048 6282.7 9345.5 1.89801 0.53217 
