ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.66533 0.20000 0.00198 0.12647 0.12608 53.51302 330.9 330.8 0.07406 0.17432 
0.66505 0.20800 0.00218 0.13244 0.13210 47.20622 408.7 408.6 0.07565 0.20054 
0.66473 0.21600 0.00239 0.13882 0.13852 42.42382 491.1 491.1 0.07801 0.22622 
0.66436 0.22400 0.00261 0.14555 0.14531 38.73783 576.4 576.3 0.08102 0.25081 
0.66397 0.23200 0.00285 0.15269 0.15252 35.77350 665.2 665.2 0.08456 0.27451 
0.66354 0.24000 0.00311 0.16028 0.16019 33.32057 758.2 758.1 0.08858 0.29747 
0.66302 0.24800 0.00339 0.16842 0.16843 31.23401 856.4 856.4 0.09322 0.32024 
0.66234 0.25600 0.00368 0.17697 0.17709 29.51040 956.0 956.0 0.09845 0.34194 
0.66164 0.26400 0.00399 0.18576 0.18601 28.10728 1053.8 1053.8 0.10402 0.36146 
0.66095 0.27200 0.00431 0.19518 0.19557 26.84840 1157.1 1157.1 0.11014 0.38067 
0.66001 0.28000 0.00466 0.20504 0.20561 25.77427 1261.0 1261.1 0.11703 0.39943 
0.65910 0.28800 0.00502 0.21512 0.21587 24.87575 1362.8 1362.5 0.12402 0.41558 
0.65808 0.29600 0.00541 0.22594 0.22691 24.04675 1469.3 1469.5 0.13209 0.43263 
0.65699 0.30400 0.00581 0.23688 0.23807 23.36226 1571.9 1571.6 0.14022 0.44696 
0.65580 0.31200 0.00624 0.24852 0.24999 22.72542 1678.0 1678.3 0.14947 0.46207 
0.65460 0.32000 0.00668 0.26032 0.26207 22.19093 1780.8 1780.4 0.15870 0.47451 
0.65319 0.32800 0.00715 0.27278 0.27487 21.69553 1885.8 1886.0 0.16921 0.48793 
0.65186 0.33600 0.00764 0.28542 0.28785 21.27140 1987.8 1987.6 0.17972 0.49897 
0.65038 0.34400 0.00815 0.29867 0.30150 20.88065 2091.2 2091.2 0.19134 0.51041 
0.64886 0.35200 0.00868 0.31218 0.31543 20.53850 2192.1 2192.2 0.20339 0.52059 
0.64733 0.36000 0.00924 0.32598 0.32969 20.23471 2291.6 2291.5 0.21590 0.52978 
0.64571 0.36800 0.00982 0.34042 0.34464 19.95056 2392.4 2392.7 0.22956 0.53926 
0.64406 0.37600 0.01042 0.35500 0.35976 19.70428 2490.2 2490.1 0.24346 0.54736 
0.64238 0.38400 0.01105 0.36986 0.37519 19.48452 2586.1 2585.6 0.25792 0.55480 
0.64070 0.39200 0.01170 0.38535 0.39131 19.27324 2683.0 2683.8 0.27370 0.56269 
0.63893 0.40000 0.01237 0.40097 0.40760 19.09155 2777.3 2777.7 0.28967 0.56936 
0.63715 0.40800 0.01307 0.41682 0.42416 18.92984 2869.8 2869.2 0.30608 0.57527 
0.63545 0.41600 0.01380 0.43304 0.44114 18.77807 2961.4 2961.0 0.32340 0.58110 
0.63369 0.42400 0.01455 0.44971 0.45863 18.63554 3052.5 3053.3 0.34180 0.58703 
0.63185 0.43200 0.01532 0.46645 0.47623 18.51305 3141.3 3141.5 0.36039 0.59203 
0.63004 0.44000 0.01613 0.48345 0.49413 18.40124 3228.6 3228.4 0.37957 0.59663 
0.62839 0.44800 0.01695 0.50060 0.51222 18.29670 3314.2 3314.2 0.39920 0.60073 
0.62651 0.45600 0.01781 0.51827 0.53092 18.20051 3399.9 3400.2 0.42025 0.60527 
0.62471 0.46400 0.01869 0.53599 0.54970 18.11349 3483.8 3483.8 0.44146 0.60914 
0.62301 0.47200 0.01960 0.55386 0.56869 18.03325 3566.0 3566.0 0.46314 0.61260 
0.62136 0.48000 0.02053 0.57193 0.58792 17.95829 3647.0 3647.4 0.48545 0.61584 
0.61968 0.48800 0.02149 0.59001 0.60720 17.89288 3726.0 3725.7 0.50791 0.61857 
0.61783 0.49600 0.02248 0.60842 0.62689 17.83455 3804.5 3802.9 0.53147 0.62150 
0.61619 0.50400 0.02350 0.62714 0.64694 17.77280 3882.3 3882.2 0.55603 0.62453 
0.61460 0.51200 0.02454 0.64577 0.66695 17.71798 3958.2 3958.6 0.58051 0.62697 
0.61299 0.52000 0.02561 0.66446 0.68707 17.66903 4032.8 4033.0 0.60534 0.62915 
0.61146 0.52800 0.02671 0.68333 0.70742 17.62102 4106.5 4107.3 0.63086 0.63130 
0.60983 0.53600 0.02784 0.70219 0.72781 17.58048 4178.9 4178.7 0.65657 0.63316 
